category,player_id,height_cm,team_year_id
Michael Jordan Trophy,u/unselwe01,201,BAL/1969
Michael Jordan Trophy,c/cousybo01,185,BOS/1957
Michael Jordan Trophy,r/russebi01,208,BOS/1965
Michael Jordan Trophy,c/cowenda01,206,BOS/1973
Michael Jordan Trophy,b/birdla01,206,BOS/1986
Michael Jordan Trophy,m/mcadobo01,206,BUF/1975
Michael Jordan Trophy,j/jordami01,198,CHI/1998
Michael Jordan Trophy,r/rosede01,190,CHI/2011
Michael Jordan Trophy,r/roberos01,196,CIN/1964
Michael Jordan Trophy,n/nowitdi01,213,DAL/2007
Michael Jordan Trophy,j/jokicni01,211,DEN/2024
Michael Jordan Trophy,c/curryst01,188,GSW/2016
Michael Jordan Trophy,o/olajuha01,213,HOU/1994
Michael Jordan Trophy,h/hardeja01,196,HOU/2018
Michael Jordan Trophy,j/johnsma02,206,LAL/1990
Michael Jordan Trophy,o/onealsh01,216,LAL/2000
Michael Jordan Trophy,b/bryanko01,198,LAL/2008
Michael Jordan Trophy,j/jamesle01,206,MIA/2013
Michael Jordan Trophy,a/abdulka01,218,MIL/1974
Michael Jordan Trophy,a/antetgi01,211,MIL/2020
Michael Jordan Trophy,g/garneke01,211,MIN/2004
Michael Jordan Trophy,r/reedwi01,208,NYK/1970
Michael Jordan Trophy,d/duranke01,211,OKC/2014
Michael Jordan Trophy,w/westbru01,193,OKC/2017
Michael Jordan Trophy,e/ervinju01,201,PHI/1981
Michael Jordan Trophy,m/malonmo01,208,PHI/1983
Michael Jordan Trophy,i/iversal01,183,PHI/2001
Michael Jordan Trophy,e/embiijo01,213,PHI/2023
Michael Jordan Trophy,b/barklch01,198,PHO/1993
Michael Jordan Trophy,n/nashst01,190,PHO/2006
Michael Jordan Trophy,c/chambwi01,216,PHW/1960
Michael Jordan Trophy,w/waltobi01,211,POR/1978
Michael Jordan Trophy,r/robinda01,216,SAS/1995
Michael Jordan Trophy,d/duncati01,211,SAS/2003
Michael Jordan Trophy,p/pettibo01,206,STL/1959
Michael Jordan Trophy,m/malonka01,206,UTA/1999
Player Rank,y/youngtr01,185,ATL/2020
Player Rank,c/collijo01,206,ATL/2021
Player Rank,y/youngtr01,185,ATL/2021
Player Rank,y/youngtr01,185,ATL/2022
Player Rank,m/murrade01,196,ATL/2023
Player Rank,y/youngtr01,185,ATL/2023
Player Rank,m/murrade01,196,ATL/2024
Player Rank,y/youngtr01,185,ATL/2024
Player Rank,b/brownja02,198,BOS/2020
Player Rank,t/tatumja01,203,BOS/2020
Player Rank,w/walkeke02,183,BOS/2020
Player Rank,b/brownja02,198,BOS/2021
Player Rank,t/tatumja01,203,BOS/2021
Player Rank,b/brownja02,198,BOS/2022
Player Rank,t/tatumja01,203,BOS/2022
Player Rank,b/brownja02,198,BOS/2023
Player Rank,t/tatumja01,203,BOS/2023
Player Rank,b/brownja02,198,BOS/2024
Player Rank,t/tatumja01,203,BOS/2024
Player Rank,d/dinwisp01,196,BRK/2020
Player Rank,i/irvinky01,188,BRK/2021
Player Rank,d/duranke01,211,BRK/2022
Player Rank,h/hardeja01,196,BRK/2022
Player Rank,b/bridgmi01,198,BRK/2023
Player Rank,d/dinwisp01,196,BRK/2023
Player Rank,d/duranke01,211,BRK/2023
Player Rank,i/irvinky01,188,BRK/2023
Player Rank,b/bridgmi01,198,BRK/2024
Player Rank,t/thomaca02,193,BRK/2024
Player Rank,l/lavinza01,196,CHI/2020
Player Rank,l/lavinza01,196,CHI/2021
Player Rank,v/vucevni01,208,CHI/2021
Player Rank,d/derozde01,198,CHI/2022
Player Rank,l/lavinza01,196,CHI/2022
Player Rank,v/vucevni01,208,CHI/2022
Player Rank,d/derozde01,198,CHI/2023
Player Rank,l/lavinza01,196,CHI/2023
Player Rank,v/vucevni01,208,CHI/2023
Player Rank,d/derozde01,198,CHI/2024
Player Rank,v/vucevni01,208,CHI/2024
Player Rank,w/whiteco01,196,CHI/2024
Player Rank,g/grahade01,185,CHO/2020
Player Rank,r/roziete01,185,CHO/2020
Player Rank,r/roziete01,185,CHO/2021
Player Rank,b/ballla01,201,CHO/2022
Player Rank,b/bridgmi02,201,CHO/2022
Player Rank,r/roziete01,185,CHO/2022
Player Rank,b/bridgmi02,201,CHO/2024
Player Rank,s/sextoco01,190,CLE/2020
Player Rank,s/sextoco01,190,CLE/2021
Player Rank,g/garlada01,185,CLE/2022
Player Rank,g/garlada01,185,CLE/2023
Player Rank,m/mitchdo01,190,CLE/2023
Player Rank,m/mitchdo01,190,CLE/2024
Player Rank,d/doncilu01,198,DAL/2020
Player Rank,p/porzikr01,218,DAL/2020
Player Rank,d/doncilu01,198,DAL/2021
Player Rank,h/hardati02,196,DAL/2021
Player Rank,b/brunsja01,188,DAL/2022
Player Rank,d/doncilu01,198,DAL/2022
Player Rank,d/dinwisp01,196,DAL/2023
Player Rank,d/doncilu01,198,DAL/2023
Player Rank,i/irvinky01,188,DAL/2023
Player Rank,d/doncilu01,198,DAL/2024
Player Rank,i/irvinky01,188,DAL/2024
Player Rank,j/jokicni01,211,DEN/2020
Player Rank,j/jokicni01,211,DEN/2021
Player Rank,p/portemi01,208,DEN/2021
Player Rank,j/jokicni01,211,DEN/2022
Player Rank,j/jokicni01,211,DEN/2023
Player Rank,j/jokicni01,211,DEN/2024
Player Rank,p/portemi01,208,DEN/2024
Player Rank,g/grantje01,201,DET/2021
Player Rank,b/beysa01,201,DET/2022
Player Rank,c/cunnica01,198,DET/2024
Player Rank,w/wiggian01,201,GSW/2020
Player Rank,c/curryst01,188,GSW/2021
Player Rank,w/wiggian01,201,GSW/2021
Player Rank,c/curryst01,188,GSW/2022
Player Rank,p/poolejo01,193,GSW/2022
Player Rank,c/curryst01,188,GSW/2023
Player Rank,p/poolejo01,193,GSW/2023
Player Rank,t/thompkl01,196,GSW/2023
Player Rank,c/curryst01,188,GSW/2024
Player Rank,t/thompkl01,196,GSW/2024
Player Rank,h/hardeja01,196,HOU/2020
Player Rank,w/westbru01,193,HOU/2020
Player Rank,g/greenja05,193,HOU/2023
Player Rank,g/greenja05,193,HOU/2024
Player Rank,s/sabondo01,208,IND/2020
Player Rank,w/warretj01,203,IND/2020
Player Rank,b/brogdma01,193,IND/2021
Player Rank,s/sabondo01,208,IND/2021
Player Rank,h/hieldbu01,193,IND/2022
Player Rank,h/hieldbu01,193,IND/2023
Player Rank,h/halibty01,196,IND/2024
Player Rank,s/siakapa01,203,IND/2024
Player Rank,h/harremo01,201,LAC/2020
Player Rank,l/leonaka01,201,LAC/2020
Player Rank,w/willilo02,188,LAC/2020
Player Rank,g/georgpa01,203,LAC/2021
Player Rank,l/leonaka01,201,LAC/2021
Player Rank,j/jacksre01,188,LAC/2022
Player Rank,g/georgpa01,203,LAC/2024
Player Rank,l/leonaka01,201,LAC/2024
Player Rank,d/davisan02,208,LAL/2020
Player Rank,j/jamesle01,206,LAL/2020
Player Rank,j/jamesle01,206,LAL/2021
Player Rank,j/jamesle01,206,LAL/2022
Player Rank,w/westbru01,193,LAL/2022
Player Rank,d/davisan02,208,LAL/2023
Player Rank,j/jamesle01,206,LAL/2023
Player Rank,d/davisan02,208,LAL/2024
Player Rank,j/jamesle01,206,LAL/2024
Player Rank,r/russeda01,190,LAL/2024
Player Rank,b/brookdi01,198,MEM/2020
Player Rank,m/moranja01,188,MEM/2020
Player Rank,b/brookdi01,198,MEM/2021
Player Rank,m/moranja01,188,MEM/2021
Player Rank,b/banede01,196,MEM/2022
Player Rank,j/jacksja02,208,MEM/2022
Player Rank,m/moranja01,188,MEM/2022
Player Rank,m/moranja01,188,MEM/2023
Player Rank,j/jacksja02,208,MEM/2024
Player Rank,a/adebaba01,206,MIA/2020
Player Rank,b/butleji01,201,MIA/2020
Player Rank,a/adebaba01,206,MIA/2021
Player Rank,b/butleji01,201,MIA/2021
Player Rank,h/herroty01,196,MIA/2022
Player Rank,a/adebaba01,206,MIA/2023
Player Rank,b/butleji01,201,MIA/2023
Player Rank,h/herroty01,196,MIA/2023
Player Rank,a/adebaba01,206,MIA/2024
Player Rank,a/antetgi01,211,MIL/2020
Player Rank,m/middlkh01,201,MIL/2020
Player Rank,a/antetgi01,211,MIL/2021
Player Rank,m/middlkh01,201,MIL/2021
Player Rank,a/antetgi01,211,MIL/2022
Player Rank,m/middlkh01,201,MIL/2022
Player Rank,a/antetgi01,211,MIL/2023
Player Rank,a/antetgi01,211,MIL/2024
Player Rank,l/lillada01,188,MIL/2024
Player Rank,w/wiggian01,201,MIN/2020
Player Rank,e/edwaran01,193,MIN/2021
Player Rank,t/townska01,213,MIN/2021
Player Rank,e/edwaran01,193,MIN/2022
Player Rank,t/townska01,213,MIN/2022
Player Rank,e/edwaran01,193,MIN/2023
Player Rank,e/edwaran01,193,MIN/2024
Player Rank,t/townska01,213,MIN/2024
Player Rank,h/holidjr01,193,NOP/2020
Player Rank,i/ingrabr01,203,NOP/2020
Player Rank,i/ingrabr01,203,NOP/2021
Player Rank,w/willizi01,198,NOP/2021
Player Rank,m/mccolcj01,190,NOP/2022
Player Rank,v/valanjo01,211,NOP/2022
Player Rank,m/mccolcj01,190,NOP/2023
Player Rank,w/willizi01,198,NOP/2024
Player Rank,r/randlju01,206,NYK/2020
Player Rank,b/barrerj01,198,NYK/2021
Player Rank,r/randlju01,206,NYK/2021
Player Rank,b/barrerj01,198,NYK/2022
Player Rank,r/randlju01,206,NYK/2022
Player Rank,b/barrerj01,198,NYK/2023
Player Rank,b/brunsja01,188,NYK/2023
Player Rank,r/randlju01,206,NYK/2023
Player Rank,b/brunsja01,188,NYK/2024
Player Rank,g/gallida01,208,OKC/2020
Player Rank,g/gilgesh01,198,OKC/2020
Player Rank,p/paulch01,183,OKC/2020
Player Rank,s/schrode01,185,OKC/2020
Player Rank,g/gilgesh01,198,OKC/2022
Player Rank,g/gilgesh01,198,OKC/2023
Player Rank,g/gilgesh01,198,OKC/2024
Player Rank,h/holmgch01,216,OKC/2024
Player Rank,w/willija06,198,OKC/2024
Player Rank,f/fournev01,198,ORL/2020
Player Rank,v/vucevni01,208,ORL/2020
Player Rank,v/vucevni01,208,ORL/2021
Player Rank,b/banchpa01,208,ORL/2023
Player Rank,w/wagnefr01,208,ORL/2023
Player Rank,b/banchpa01,208,ORL/2024
Player Rank,w/wagnefr01,208,ORL/2024
Player Rank,e/embiijo01,213,PHI/2020
Player Rank,h/harrito02,203,PHI/2020
Player Rank,e/embiijo01,213,PHI/2021
Player Rank,h/harrito02,203,PHI/2021
Player Rank,e/embiijo01,213,PHI/2022
Player Rank,h/hardeja01,196,PHI/2022
Player Rank,m/maxeyty01,188,PHI/2022
Player Rank,e/embiijo01,213,PHI/2023
Player Rank,e/embiijo01,213,PHI/2024
Player Rank,m/maxeyty01,188,PHI/2024
Player Rank,b/bookede01,198,PHO/2020
Player Rank,b/bookede01,198,PHO/2021
Player Rank,p/paulch01,183,PHO/2021
Player Rank,b/bookede01,198,PHO/2022
Player Rank,b/bookede01,198,PHO/2023
Player Rank,b/bridgmi01,198,PHO/2023
Player Rank,d/duranke01,211,PHO/2023
Player Rank,b/bookede01,198,PHO/2024
Player Rank,d/duranke01,211,PHO/2024
Player Rank,l/lillada01,188,POR/2020
Player Rank,m/mccolcj01,190,POR/2020
Player Rank,l/lillada01,188,POR/2021
Player Rank,p/powelno01,190,POR/2021
Player Rank,m/mccolcj01,190,POR/2022
Player Rank,l/lillada01,188,POR/2023
Player Rank,h/hieldbu01,193,SAC/2020
Player Rank,f/foxde01,190,SAC/2021
Player Rank,h/hieldbu01,193,SAC/2021
Player Rank,b/barneha02,203,SAC/2022
Player Rank,f/foxde01,190,SAC/2022
Player Rank,h/hieldbu01,193,SAC/2022
Player Rank,f/foxde01,190,SAC/2023
Player Rank,s/sabondo01,208,SAC/2023
Player Rank,f/foxde01,190,SAC/2024
Player Rank,s/sabondo01,208,SAC/2024
Player Rank,d/derozde01,198,SAS/2020
Player Rank,d/derozde01,198,SAS/2021
Player Rank,j/johnske04,196,SAS/2022
Player Rank,m/murrade01,196,SAS/2022
Player Rank,j/johnske04,196,SAS/2023
Player Rank,w/wembavi01,221,SAS/2024
Player Rank,l/lowryky01,183,TOR/2020
Player Rank,s/siakapa01,203,TOR/2020
Player Rank,p/powelno01,190,TOR/2021
Player Rank,s/siakapa01,203,TOR/2021
Player Rank,s/siakapa01,203,TOR/2022
Player Rank,t/trentga02,196,TOR/2022
Player Rank,v/vanvlfr01,183,TOR/2022
Player Rank,s/siakapa01,203,TOR/2023
Player Rank,v/vanvlfr01,183,TOR/2023
Player Rank,s/siakapa01,203,TOR/2024
Player Rank,b/bogdabo02,201,UTA/2020
Player Rank,m/mitchdo01,190,UTA/2020
Player Rank,b/bogdabo02,201,UTA/2021
Player Rank,c/clarkjo01,190,UTA/2021
Player Rank,m/mitchdo01,190,UTA/2021
Player Rank,c/clarkjo01,190,UTA/2022
Player Rank,m/mitchdo01,190,UTA/2022
Player Rank,m/markkla01,213,UTA/2023
Player Rank,s/sextoco01,190,UTA/2024
Player Rank,b/bealbr01,193,WAS/2020
Player Rank,b/bealbr01,193,WAS/2021
Player Rank,w/westbru01,193,WAS/2021
Player Rank,k/kuzmaky01,206,WAS/2023
Player Rank,p/porzikr01,218,WAS/2023
Player Rank,k/kuzmaky01,206,WAS/2024
Player Rank,p/poolejo01,193,WAS/2024
