rank,player_id,team_year_id
1,h/hardeja01,HOU/2020
2,l/lillada01,POR/2020
3,b/bookede01,PHO/2020
4,a/antetgi01,MIL/2020
5,y/youngtr01,ATL/2020
6,d/doncilu01,DAL/2020
7,b/bealbr01,WAS/2020
8,j/jamesle01,LAL/2020
9,m/mitchdo01,UTA/2020
10,d/davisan02,LAL/2020
11,m/mccolcj01,POR/2020
12,w/westbru01,HOU/2020
13,t/tatumja01,BOS/2020
14,l/leonaka01,LAC/2020
15,l/lavinza01,CHI/2020
16,d/derozde01,SAS/2020
17,i/ingrabr01,NOP/2020
18,j/jokicni01,DEN/2020
19,h/harrito02,PHI/2020
20,h/hieldbu01,SAC/2020
21,s/siakapa01,TOR/2020
22,s/sextoco01,CLE/2020
23,g/gilgesh01,OKC/2020
24,w/warretj01,IND/2020
25,d/dinwisp01,BRK/2020
26,m/middlkh01,MIL/2020
27,b/bogdabo02,UTA/2020
28,r/randlju01,NYK/2020
29,p/paulch01,OKC/2020
30,s/schrode01,OKC/2020
31,f/fournev01,ORL/2020
32,v/vucevni01,ORL/2020
33,m/moranja01,MEM/2020
34,w/willilo02,LAC/2020
35,b/brookdi01,MEM/2020
36,w/wiggian01,MIN/2020
37,w/wiggian01,GSW/2020
38,h/harremo01,LAC/2020
39,e/embiijo01,PHI/2020
40,h/holidjr01,NOP/2020
41,p/porzikr01,DAL/2020
42,g/gallida01,OKC/2020
43,b/brownja02,BOS/2020
44,b/butleji01,MIA/2020
45,s/sabondo01,IND/2020
46,a/adebaba01,MIA/2020
47,g/grahade01,CHO/2020
48,w/walkeke02,BOS/2020
49,r/roziete01,CHO/2020
50,l/lowryky01,TOR/2020
1,c/curryst01,GSW/2021
2,l/lillada01,POR/2021
3,j/jokicni01,DEN/2021
4,b/bealbr01,WAS/2021
5,d/doncilu01,DAL/2021
6,a/antetgi01,MIL/2021
7,b/bookede01,PHO/2021
8,r/randlju01,NYK/2021
9,t/tatumja01,BOS/2021
10,w/willizi01,NOP/2021
11,v/vucevni01,ORL/2021
12,v/vucevni01,CHI/2021
13,y/youngtr01,ATL/2021
14,l/lavinza01,CHI/2021
15,f/foxde01,SAC/2021
16,s/sextoco01,CLE/2021
17,e/embiijo01,PHI/2021
18,i/irvinky01,BRK/2021
19,i/ingrabr01,NOP/2021
20,w/westbru01,WAS/2021
21,b/brownja02,BOS/2021
22,r/roziete01,CHO/2021
23,m/mitchdo01,UTA/2021
24,e/edwaran01,MIN/2021
25,m/middlkh01,MIL/2021
26,w/wiggian01,GSW/2021
27,d/derozde01,SAS/2021
28,l/leonaka01,LAC/2021
29,p/powelno01,TOR/2021
30,p/powelno01,POR/2021
31,b/barrerj01,NYK/2021
32,s/sabondo01,IND/2021
33,g/georgpa01,LAC/2021
34,c/clarkjo01,UTA/2021
35,t/townska01,MIN/2021
36,b/bogdabo02,UTA/2021
37,h/harrito02,PHI/2021
38,g/grantje01,DET/2021
39,m/moranja01,MEM/2021
40,a/adebaba01,MIA/2021
41,s/siakapa01,TOR/2021
42,b/brogdma01,IND/2021
43,h/hieldbu01,SAC/2021
44,h/hardati02,DAL/2021
45,p/portemi01,DEN/2021
46,b/brookdi01,MEM/2021
47,p/paulch01,PHO/2021
48,j/jamesle01,LAL/2021
49,b/butleji01,MIA/2021
50,c/collijo01,ATL/2021
1,y/youngtr01,ATL/2022
2,d/derozde01,CHI/2022
3,e/embiijo01,PHI/2022
4,t/tatumja01,BOS/2022
5,j/jokicni01,DEN/2022
6,a/antetgi01,MIL/2022
7,d/doncilu01,DAL/2022
8,b/bookede01,PHO/2022
9,t/townska01,MIN/2022
10,m/mitchdo01,UTA/2022
11,j/jamesle01,LAL/2022
12,d/duranke01,BRK/2022
13,l/lavinza01,CHI/2022
14,c/curryst01,GSW/2022
15,b/bridgmi02,CHO/2022
16,m/moranja01,MEM/2022
17,b/brownja02,BOS/2022
18,s/siakapa01,TOR/2022
19,e/edwaran01,MIN/2022
20,b/ballla01,CHO/2022
21,g/garlada01,CLE/2022
22,r/randlju01,NYK/2022
23,w/westbru01,LAL/2022
24,m/murrade01,SAS/2022
25,h/hardeja01,BRK/2022
26,h/hardeja01,PHI/2022
27,r/roziete01,CHO/2022
28,p/poolejo01,GSW/2022
29,b/barrerj01,NYK/2022
30,b/banede01,MEM/2022
31,g/gilgesh01,OKC/2022
32,m/mccolcj01,POR/2022
33,m/mccolcj01,NOP/2022
34,f/foxde01,SAC/2022
35,h/herroty01,MIA/2022
36,m/middlkh01,MIL/2022
37,b/beysa01,DET/2022
38,v/vanvlfr01,TOR/2022
39,v/valanjo01,NOP/2022
40,m/maxeyty01,PHI/2022
41,v/vucevni01,CHI/2022
42,b/brunsja01,DAL/2022
43,t/trentga02,TOR/2022
44,j/johnske04,SAS/2022
45,j/jacksja02,MEM/2022
46,c/clarkjo01,UTA/2022
47,b/barneha02,SAC/2022
48,h/hieldbu01,SAC/2022
49,h/hieldbu01,IND/2022
50,j/jacksre01,LAC/2022
1,t/tatumja01,BOS/2023
2,e/embiijo01,PHI/2023
3,d/doncilu01,DAL/2023
4,g/gilgesh01,OKC/2023
5,a/antetgi01,MIL/2023
6,e/edwaran01,MIN/2023
7,r/randlju01,NYK/2023
8,m/mitchdo01,CLE/2023
9,y/youngtr01,ATL/2023
10,l/lavinza01,CHI/2023
11,l/lillada01,POR/2023
12,f/foxde01,SAC/2023
13,d/derozde01,CHI/2023
14,b/brownja02,BOS/2023
15,s/siakapa01,TOR/2023
16,m/markkla01,UTA/2023
17,j/jokicni01,DEN/2023
18,g/greenja05,HOU/2023
19,p/poolejo01,GSW/2023
20,b/bridgmi01,PHO/2023
21,b/bridgmi01,BRK/2023
22,c/curryst01,GSW/2023
23,b/brunsja01,NYK/2023
24,i/irvinky01,BRK/2023
25,i/irvinky01,DAL/2023
26,m/moranja01,MEM/2023
27,j/jamesle01,LAL/2023
28,m/mccolcj01,NOP/2023
29,a/adebaba01,MIA/2023
30,m/murrade01,ATL/2023
31,s/sabondo01,SAC/2023
32,t/thompkl01,GSW/2023
33,p/porzikr01,WAS/2023
34,g/garlada01,CLE/2023
35,w/wagnefr01,ORL/2023
36,b/bookede01,PHO/2023
37,b/butleji01,MIA/2023
38,d/davisan02,LAL/2023
39,v/vucevni01,CHI/2023
40,b/banchpa01,ORL/2023
41,b/barrerj01,NYK/2023
42,j/johnske04,SAS/2023
43,d/dinwisp01,DAL/2023
44,d/dinwisp01,BRK/2023
45,d/duranke01,BRK/2023
46,d/duranke01,PHO/2023
47,k/kuzmaky01,WAS/2023
48,h/herroty01,MIA/2023
49,h/hieldbu01,IND/2023
50,v/vanvlfr01,TOR/2023
1,d/doncilu01,DAL/2024
2,g/gilgesh01,OKC/2024
3,a/antetgi01,MIL/2024
4,b/brunsja01,NYK/2024
5,j/jokicni01,DEN/2024
6,e/edwaran01,MIN/2024
7,d/duranke01,PHO/2024
8,t/tatumja01,BOS/2024
9,f/foxde01,SAC/2024
10,c/curryst01,GSW/2024
11,d/derozde01,CHI/2024
12,d/davisan02,LAL/2024
13,b/bookede01,PHO/2024
14,j/jamesle01,LAL/2024
15,m/maxeyty01,PHI/2024
16,b/banchpa01,ORL/2024
17,l/lillada01,MIL/2024
18,m/murrade01,ATL/2024
19,s/siakapa01,TOR/2024
20,s/siakapa01,IND/2024
21,g/georgpa01,LAC/2024
22,l/leonaka01,LAC/2024
23,b/brownja02,BOS/2024
24,g/greenja05,HOU/2024
25,b/bridgmi01,BRK/2024
26,w/willizi01,NOP/2024
27,s/sabondo01,SAC/2024
28,k/kuzmaky01,WAS/2024
29,w/wembavi01,SAS/2024
30,w/whiteco01,CHI/2024
31,i/irvinky01,DAL/2024
32,j/jacksja02,MEM/2024
33,t/thomaca02,BRK/2024
34,m/mitchdo01,CLE/2024
35,s/sextoco01,UTA/2024
36,b/bridgmi02,CHO/2024
37,w/wagnefr01,ORL/2024
38,c/cunnica01,DET/2024
39,h/halibty01,IND/2024
40,y/youngtr01,ATL/2024
41,t/thompkl01,GSW/2024
42,v/vucevni01,CHI/2024
43,r/russeda01,LAL/2024
44,a/adebaba01,MIA/2024
45,h/holmgch01,OKC/2024
46,p/poolejo01,WAS/2024
47,p/portemi01,DEN/2024
48,w/willija06,OKC/2024
49,e/embiijo01,PHI/2024
50,t/townska01,MIN/2024
